"Fall 2025"
"Generated 4/7/2026, 4:16:25 PM"
,"CLSS ID","CRN","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Schedule Type","Title","Meeting Pattern","Meetings","Instructor","Room","Status","Part of Term","Custom Start Date","Custom End Date","Session","Campus","Print/Web","Special Approval","Credit Hrs","Attributes","Course Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Wait Cap","Wait Total","Attend Mthd","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Attend Meth","Link To","Comments","Section Notes#1","Section Notes#2","Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Cohort 
Include/Exclude","Restrictions
Cohort"
"MATH 100A - Short Calculus I"
,"416","70948","Fall 2025","202570","MATH","MATH","100A","MATH 100A","70948 (501)","Short Calculus I","Short Calculus I","Lecture","","TR 6:40pm-7:55pm","TR 6:40pm-7:55pm [Lecture (Class)]","Bradach, Kyle (S00015786) [Primary, 100%]","HC 213","Active","Full Term (8/15/25 to 12/19/25)","","","Evening","Ocean","Yes","(None Assigned)","3","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","29","35","25","0","0","W","","","","","","","","HC classroom if available","","This class meets in person at the Ocean campus. Students can <a href=""mailto:kbradach@ccsf.edu?subject=Question%20about%20MATH%20100A%20CRN%2070948"">send email</a> to the instructor if they have questions before the semester begins.  ","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 108 - Foundations of Data Science"
,"417","70949","Fall 2025","202570","MATH","MATH","108","MATH 108","70949 (961)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","R 1:10pm-3:25pm","R 1:10pm-3:25pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","McLanahan, Amy (@00114252) [Primary, 40%]; McLanahan, Amy (@00114252) [60%]","JDVL 803; No Room Assigned","Active","16 week session (9/2/25 to 12/19/25)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","22","40","28","0","0","DI","","","","","","","","","","This class requires in-person meetings and the use of Canvas. In-person meetings will take place on Thursdays from 1:10pm - 3:25pm on the Ocean Campus. Students will also complete coursework in Canvas, which must be accessed using an internet enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks.  For course details, students must check the <a
href=""https://ccsf.instructure.com/courses/55256/""> instructor's website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"1409","73040","Fall 2025","202570","MATH","MATH","108","MATH 108","73040 (962)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","W 4:40pm-6:55pm","W 4:40pm-6:55pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Page II, Ronald (@00264621) [Primary, 100%]","CHNB 1405; No Room Assigned","Active","16 week session (9/2/25 to 12/19/25)","","","Day","Chinatown/North Beach","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","20","40","14","0","0","DI","","","","","","","","","","This class requires in-person meetings and the use of Canvas. In-person meetings will take place on Wednesdays 4:40pm - 6:55pm on the CHINATOWN campus. Students will also complete coursework in Canvas, which must be accessed using an internet enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>. For course details, students must check the <a href=""https://ccsf.instructure.com/courses/55262"">instructor's website</a>. ","Exclude (E)","High School Exemption (CHSS) ","",""
,"418","70950","Fall 2025","202570","MATH","MATH","108","MATH 108","70950 (963)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","R 6:10pm-8:25pm","R 6:10pm-8:25pm [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Wiggins, Shawn (@00282836) [Primary, 100%]; Wiggins, Shawn (@00282836) [100%]","MIC 321- General Classroom; No Room Assigned","Active","16 week session (9/2/25 to 12/19/25)","","","Evening","Mission","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","32","40","23","0","0","DI","","","","","","","","Room request - MIC 231","","This class requires in-person meetings and the use of Canvas. In-person meetings will take place on Thursdays 6:10pm - 8:25pm on the Mission Campus. Students will also complete coursework in Canvas, which must be accessed using an internet enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>.  For course details, students must check the <a href=""https://shawnwiggins.github.io"">instructor's website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"1705","73486","Fall 2025","202570","MATH","MATH","108","MATH 108","73486 (964)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","F 9:40am-11:55am","F 9:40am-11:55am [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Mohammadzadeh, Sonny (@00256571) [Primary, 100%]","CLOU 202 - Smart Classroom; No Room Assigned","Active","16 week session (9/2/25 to 12/19/25)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","23","40","27","0","0","DI","","","","","","","","","","This class requires in-person meetings and the use of Canvas. In-person meetings will take place on Fridays 9:40- 11:55am on the Ocean campus. Students will also complete coursework in Canvas, which must be accessed using an internet enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 110A - Calculus I"
,"420","70952","Fall 2025","202570","MATH","MATH","110A","MATH 110A","70952 (001)","Calculus I","Calculus I","Lecture","","MW 8:40am-10:55am","MW 8:40am-10:55am [Lecture (Class)]","Nanjo, Jean (W00700703) [Primary, 100%]","HC 205","Active","Full Term (8/15/25 to 12/19/25)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","32","35","27","0","0","W","","","","","","","","HC 205 is available now - moved another class out. ","","This class will be taught in person on the Ocean campus. Students can <a href=""mailto:jnanjo@ccsf.edu?subject=Question%20about%20MATH%20110A%20CRN%2070952"">send email</a> to the instructor if they have questions before the semester begins.  ","Exclude (E)","High School Exemption (CHSS) ","",""
,"419","70951","Fall 2025","202570","MATH","MATH","110A","MATH 110A","70951 (002)","Calculus I","Calculus I","Lecture","","MW 10:10am-12:45pm","MW 10:10am-12:45pm [Lecture (Class)]","McLanahan, Amy (@00114252) [Primary, 100%]","BATL 753 - General Classroom","Active","16 week session (9/2/25 to 12/19/25)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","21","35","36","0","0","D","","","","","","","","","","This class will be taught in person at the Ocean campus. It is a 16 week section, and starts on the 2nd of September. Students can <a href=""mailto:amclanah@ccsf.edu?subject=Question%20about%20MATH%20110A%20CRN%2070951"">send email</a> to the instructor if they have questions before the semester begins.  ","Exclude (E)","High School Exemption (CHSS) ","",""
