"Spring 2026"
"Generated 4/28/2026, 8:31:04 AM"
,"CLSS ID","CRN","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Schedule Type","Title","Meeting Pattern","Meetings","Instructor","Room","Status","Part of Term","Custom Start Date","Custom End Date","Session","Campus","Print/Web","Special Approval","Credit Hrs","Attributes","Course Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Wait Cap","Wait Total","Attend Mthd","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Attend Meth","Link To","Comments","Section Notes#1","Section Notes#2","Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Cohort 
Include/Exclude","Restrictions
Cohort"
"MATH 100B - Short Calculus II"
,"465","31759","Spring 2026","202630","MATH","MATH","100B","MATH 100B","31759 (501)","Short Calculus II","Short Calculus II","Lecture","","TR 6:40pm-7:55pm","TR 6:40pm-7:55pm [Lecture (Class)]","Bradach, Kyle (S00015786) [Primary, 100%]","JDVL 803","Active","Full Term (1/9/26 to 5/20/26)","","","Evening","Ocean","Yes","(None Assigned)","3","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","17","35","13","0","0","W","","","","","","","","HC classroom (HC 213) if available","","This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 108 - Foundations of Data Science"
,"911","34244","Spring 2026","202630","MATH","MATH","108","MATH 108","34244 (961)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","R 1:10pm-3:25pm","R 1:10pm-3:25pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","McLanahan, Amy (@00114252) [Primary, 100%]","HC 202; No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","10","40","25","0","0","DI","","","","","","","","Room Request: STEM 317","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://ccsf.instructure.com/courses/55256"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"912","34245","Spring 2026","202630","MATH","MATH","108","MATH 108","34245 (962)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","W 6:10pm-8:25pm","W 6:10pm-8:25pm [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Wiggins, Shawn (@00282836) [Primary, 100%]","CHNB 1405; No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Evening","Chinatown/North Beach","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","30","40","15","0","0","DI","","","","","","","","Room Request: CHNB 1405","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://shawnwiggins.github.io"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"913","34246","Spring 2026","202630","MATH","MATH","108","MATH 108","34246 (963)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","R 6:10pm-8:25pm","R 6:10pm-8:25pm [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Page II, Ronald (@00264621) [Primary, 100%]","MIC 277  - General Classroom; No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Evening","Mission","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","13","40","20","0","0","DI","","","","","","","","Room Request: MIC 321 or a smart classroom with a teacher work station","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://ccsf.instructure.com/courses/55262"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"1726","35841","Spring 2026","202630","MATH","MATH","108","MATH 108","35841 (964)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","R 10:10am-12:25pm","R 10:10am-12:25pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","McLanahan, Amy (@00114252) [Primary, 100%]","HC 202; No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","13","40","11","0","0","DI","","","","","","","","Room Request: STEM 317","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://ccsf.instructure.com/courses/55256"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"2028","36247","Spring 2026","202630","MATH","MATH","108","MATH 108","36247 (965)","Foundations of Data Science","","Online Hybrid","","F 9:40am-11:55am","F 9:40am-11:55am [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Mohammadzadeh, Sonny (@00256571) [Primary, 100%]; Mohammadzadeh, Sonny (@00256571) [100%]","JDVL 801; No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","24","40","0","0","0","DI","","","","","","","","Room Request: CLOU 202, ART 315, or a smart classroom with a teacher workstation","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>. Students can <a href=""mailto:smohammadzadeh@ccsf.edu?subject=Question%20about%20MATH%20108%20CRN%2036247"">send email</a> to the instructor if they have questions before the semester begins.
","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 110A - Calculus I"
,"802","33632","Spring 2026","202630","MATH","MATH","110A","MATH 110A","33632 (001)","Calculus I","Calculus I","Lecture","","MW 8:40am-10:55am","MW 8:40am-10:55am [Lecture (Class)]","Dudum, Isam (W00114876) [Primary, 100%]","JDVL 806","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","18","35","30","0","0","W","","","","","","","","Room Request: JDVL 806
Instructor Preference: At least the same room as MATH 110A (002)","","This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
