"Summer 2026"
"Generated 4/15/2026, 8:07:25 AM"
,"CLSS ID","CRN","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Schedule Type","Title","Meeting Pattern","Meetings","Instructor","Room","Status","Part of Term","Custom Start Date","Custom End Date","Session","Campus","Print/Web","Special Approval","Credit Hrs","Attributes","Course Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Wait Cap","Wait Total","Attend Mthd","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Attend Meth","Link To","Comments","Section Notes#1","Section Notes#2","Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Cohort 
Include/Exclude","Restrictions
Cohort"
"MATH 110A - Calculus I"
,"60","53979","Summer 2026","202650","MATH","MATH","110A","MATH 110A","53979 (001)","Calculus I","Calculus I","Lecture","","MTWRF 8:10am-11am","MTWRF 8:10am-11am [Lecture (Class)]","Dudum, Isam (W00114876) [Primary, 100%]","JDVL 805","Active","6 weeks Summer session (6/15/26 to 7/26/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","30","10","0","D","","","","","","","","Room Request: JDVL 810 or 806","","This 6-week section will meet in person at the Ocean Campus. Students can <a href=""mailto:idudum@ccsf.edu?subject=Summer%20Mathematics%20Course"">email the instructor</a> if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
,"10","53230","Summer 2026","202650","MATH","MATH","110A","MATH 110A","53230 (002)","Calculus I","Calculus I","Lecture","","MTWRF 11:10am-2pm","MTWRF 11:10am-2pm [Lecture (Class)]","Lum, Lily (W00076775) [Primary, 100%]","HBB 240","Active","6 weeks Summer session (6/15/26 to 7/26/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","3","35","36","10","0","D","","","","","","","","","","This 6-week section will meet in person at the Ocean Campus. Students can <a href=""mailto:llum@ccsf.edu?subject=Summer%20Mathematics%20Course"">email the instructor</a> if they have questions before the semester begins.
","Exclude (E)","High School Exemption (CHSS) ","",""
,"198","54403","Summer 2026","202650","MATH","MATH","110A","MATH 110A","54403 (981)","Calculus I","Calculus I","Online Learning","","MWF 8:10am-9am","MWF 8:10am-9am [Online Learning (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Page II, Ronald (@00264621) [Primary, 100%]","ZOOM; No Room Assigned","Active","6 weeks Summer session (6/15/26 to 7/26/26)","","","Day","Online","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","10","40","55","10","0","DI","","","","","","","","","","This class requires live online meetings and the use of Canvas with no required in-person meetings. Live online meetings require the use of CityZoom, Zoom's web conferencing platform in Canvas, using an internet-enabled device. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 6 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/55262"">the instructor's Canvas page</a>. ","Exclude (E)","High School Exemption (CHSS) ","",""
,"327","54585","Summer 2026","202650","MATH","MATH","110A","MATH 110A","54585 (S01)","Calculus I","","Lecture","","MTWRF 11:10am-1:15pm","MTWRF 11:10am-1:15pm [Lecture (Class)]","Lee, Hyang-Sug (Suely) (@00330156) [Primary, 100%]","HBB 251","Active","8 weeks Summer session (6/8/26 to 8/2/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","5","35","0","10","0","D","","","","","","","","Room Request: This section should be assigned to the same room as MATH 110S S01. Thank you!","","This 8-week section will meet in person at the Ocean Campus, and you are required to enroll in the support section MATH 110S S01. Students can <a href=""mailto:hlee@ccsf.edu?subject=Summer%20Mathematics%20Course"">email the instructor</a> if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 110B - Calculus II"
,"63","53982","Summer 2026","202650","MATH","MATH","110B","MATH 110B","53982 (001)","Calculus II","Calculus II","Lecture","","MTWR 8:10am-11:30am","MTWR 8:10am-11:30am [Lecture (Class)]","Bravewoman, Mary (W00003384) [Primary, 100%]","HC 213","Active","6 weeks Summer session (6/15/26 to 7/26/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","3","35","22","10","0","D","","","","","","","","Room Request: HC 213 or HC 215. Thank you!","","This 6-week section will meet in person at the Ocean Campus. Students can <a href=""mailto:mbravewo@ccsf.edu?subject=Summer%20Mathematics%20Course"">email the instructor</a> if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
,"332","54586","Summer 2026","202650","MATH","MATH","110B","MATH 110B","54586 (003)","Calculus II","","Lecture","","MTWRF 11:10am-2pm","MTWRF 11:10am-2pm [Lecture (Class)]","Russakovskii, Eugene (W00617703) [Primary, 100%]","HBB 238","Active","6 weeks Summer session (6/15/26 to 7/26/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","2","35","0","10","0","D","","","","","","","","Room Request: HBB 380 or similar 3rd-floor HBB room. Thank you!","","This 6-week section will meet in person at the Ocean Campus. Students can <a href=""mailto:erussako@ccsf.edu?subject=Summer%20Mathematics%20Course"">email the instructor</a> if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
,"11","53234","Summer 2026","202650","MATH","MATH","110B","MATH 110B","53234 (931)","Calculus II","Calculus II","Online Learning","","Does Not Meet","Does Not Meet [Online Learning (Class)]","Nguyen, Sean (W99184420) [Primary, 100%]","No Room Assigned","Active","6 weeks Summer session (6/15/26 to 7/26/26)","","","Evening","Online","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","33","40","59","10","0","DI","","","","","","","","","","This class requires use of Canvas with no required in-person meetings. Students will complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 6 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>. Students can <a href=""mailto:snguyen@ccsf.edu?subject=Summer%20Mathematics%20Course"">email the instructor</a> if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 110C - Calculus III"
